Title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher
4 Most ,2,NM+ ,,9.2,OW-W , ,1942,Novelty Press
4 Most ,3,NM ,,7.5,OW , ,1942,Novelty Press
4 Most ,4,NM+ ,,9.6,W , ,1942,Novelty Press
A Date With Judy ,3,NM+ ,,9.6,OW-W , ,1948,D.C. Comics
Ace Comics ,1,FN ,,7.5,OW-W ,Slight (A) ,1937,David McKay Publishing
Ace Comics ,41,NM ,,9,OW-W , ,1940,David McKay Publishing
Ace Comics ,55,NM ,,6.5,W , ,1941,David McKay Publishing
Ace Comics ,71,NL ,,8.5,OW-W , ,1943,David McKay Publishing
Ace Comics ,105,FN ,,9,CR-OW , ,1945,David McKay Publishing
Ace Comics ,113,NM ,,7,W , ,1946,David McKay Publishing
Ace Comics ,115,NM ,,7.5,OW-W , ,1946,David McKay Publishing
Action Comics ,24,NL ,,9.4,W , ,1940,D.C. Comics
Action Comics ,25,NL ,,9.6,W , ,1940,D.C. Comics
Action Comics ,28,NM ,,9.2,W , ,1940,D.C. Comics
Action Comics ,30,NM+ ,,9.2,OW-W , ,1940,D.C. Comics
Action Comics ,35,NL ,,9.2,W , ,1941,D.C. Comics
Action Comics ,38,NM+ ,,9,OW-W , ,1941,D.C. Comics
Action Comics ,48,NL ,,9,OW-W , ,1942,D.C. Comics
Action Comics ,50,NL ,,9.4,W , ,1942,D.C. Comics
Action Comics ,55,NL ,,9.6, , ,1942,D.C. Comics
Action Comics ,57,NM ,,8.5,OW-W , ,1943,D.C. Comics
Action Comics ,59,NM ,,8.5,OW-W , ,1943,D.C. Comics
Action Comics ,61,NM ,,9.4,W , ,1943,D.C. Comics
Action Comics ,63,NL ,,9.6,OW-W , ,1943,D.C. Comics
Action Comics ,64,NL ,,9.4,W , ,1943,D.C. Comics
Action Comics ,65,NM ,,9.4,W , ,1943,D.C. Comics
Action Comics ,68,NM+ ,,9.4,OW-W , ,1943,D.C. Comics
Action Comics ,70,NL ,,9.8,OW-W , ,1943,D.C. Comics
Action Comics ,74,NL ,,9.6,W , ,1944,D.C. Comics
Action Comics ,77,NM ,,8.5,OW-W ,Edge of back cover trimmed ,1944,D.C. Comics
Action Comics ,78,NM+ ,,9.6,OW-W , ,1944,D.C. Comics
Action Comics ,81,NM ,,9.6,W , ,1945,D.C. Comics
Action Comics ,87,NM+ ,,9,OW , ,1945,D.C. Comics
Action Comics ,88,NM+ ,,9.4, ,Left edge of back cover trimmed , ,D.C. Comics
Action Comics ,92,NM+ ,,9.4,OW-W , ,1946,D.C. Comics
Action Comics ,94,NM+ ,,9.2,OW-W , ,1946,D.C. Comics
Action Comics ,96,NM+ ,,9.8,OW-W , ,1946,D.C. Comics
Action Comics ,98,NM ,,9.8,OW-W , ,1946,D.C. Comics
Action Comics ,99,NM+ ,,9.6,OW-W , ,1946,D.C. Comics
Action Comics ,102,NL ,,9.6,W , ,1946,D.C. Comics
Action Comics ,106,NM ,,9, , , ,D.C. Comics
Action Comics ,108,NM+ ,,9.6,OW , ,1947,D.C. Comics
Action Comics ,112,NM+ ,,9.6,OW , ,1947,D.C. Comics
Action Comics ,137,NM ,,8,OW-W ,Old grade VF- 7.5 ,1949,D.C. Comics
Action Comics ,150,NM ,,9,OW-W , ,1950,D.C. Comics
Action Comics ,151,NM ,,7.5,W , ,1950,D.C. Comics
Action Comics ,155,NM ,,9,W , ,1951,D.C. Comics
Action Comics ,159,NM ,,8,W , ,1951,D.C. Comics
Action Comics ,163,NM ,,8,OW-W , ,1951,D.C. Comics
Adventure Comics ,33,NM+ ,,9.2,OW-W , ,1938,D.C. Comics
Adventure Comics ,34,NL ,,9.4,W , ,1938,D.C. Comics
Adventure Comics ,35,NM ,,9.2,OW-W , ,1939,D.C. Comics
Adventure Comics ,36,NL ,,9.6,W , ,1939,D.C. Comics
Adventure Comics ,38,NM ,,7.5,OW-W , ,1939,D.C. Comics
Adventure Comics ,39,NL ,,9.6,OW-W , ,1939,D.C. Comics
Adventure Comics ,40,NM+ ,,9.2,OW-W ,Slight (A) ,1939,D.C. Comics
Adventure Comics ,41,NL ,,9.6,OW-W , ,1939,D.C. Comics
Adventure Comics ,42,NL ,,9.4,OW-W , ,1939,D.C. Comics
Adventure Comics ,43,NM+ ,,9.6,OW , ,1939,D.C. Comics
Adventure Comics ,45,NL ,,9.6,OW , ,1939,D.C. Comics
Adventure Comics ,48,NL ,,8.5,W , ,1940,D.C. Comics
Adventure Comics ,58,NL ,,9,OW-W , ,1941,D.C. Comics
Adventure Comics ,61,NL ,,9.4,W ,Slight (P) moderate CT tear seal ,1941,D.C. Comics
Adventure Comics ,72,NL ,,9.8,W ,Old grade NM+9.6 -  ,1942,D.C. Comics
Adventure Comics ,75,NL ,,9.4,W , ,1942,D.C. Comics
Adventure Comics ,76,NL ,,9.6,OW-W , ,1942,D.C. Comics
Adventure Comics ,77,NL ,,9.8,W , ,1942,D.C. Comics
Adventure Comics ,78,NL ,,9.2,W , ,1942,D.C. Comics
Adventure Comics ,79,NL ,,9.6,W , ,1942,D.C. Comics
Adventure Comics ,80,NL ,,9.6,W , ,1942,D.C. Comics
Adventure Comics ,85,NL ,,9.2,W , ,1943,D.C. Comics
Adventure Comics ,89,NM+ ,,9.2,W , ,1944,D.C. Comics
Adventure Comics ,90,NL ,,9.2,W , ,1944,D.C. Comics
Adventure Comics ,97,NL ,,9.8,W , ,1945,D.C. Comics
Adventure Comics ,100,NL ,,9.2,OW-W , ,1945,D.C. Comics
Adventure Comics ,103,NL ,,9.6,OW-W , ,1946,D.C. Comics
Adventure Comics ,114,NL ,,7,OW-W , ,1947,D.C. Comics
Adventure Comics ,119,NM+ ,,9.6,W , ,1947,D.C. Comics
Adventure Comics ,143,NM ,,8,OW-W , ,1949,D.C. Comics
Air Ace Vol.2 ,1,NL ,,9,OW-W , ,1944,Street and Smith
Air Fighters Comics ,1,NM+ ,,9.4,OW-W ,Old grade NM- 9.2 ,1941,Hillman Periodicals
Air Fighters Comics ,2,NM+ ,,8,OW-W , ,1942,Hillman Periodicals
Air Fighters Comics ,3,NM+ ,,9.6,OW-W , ,1942,Hillman Periodicals
Air Fighters Comics ,8,NM+ ,,9.6,OW , ,1943,Hillman Periodicals
Air Fighters Comics Vol2 ,1,NL ,,9,OW-W , ,1944,Street and Smith
Air Fighters Comics Vol2 ,3,NL ,,8,OW , ,1943,Hillman Periodicals
Air Fighters Comics Vol2 ,5,NL ,,7,OW , ,1944,Hillman Periodicals
Air Fighters Comics Vol2 ,8,FN ,,5,OW , ,1944,Hillman Periodicals
Airboy Comics Vol.6 ,11,NM+ ,,9.2,OW-W , ,1949,Hillman Periodicals
Airboy Comics Vol.7 ,2,NM+ ,,9.2,OW-W , ,1950,Hillman Periodicals
Airboy Comics Vol.7 ,5,NM+ ,,9,OW-W , ,1950,Hillman Periodicals
All American Western ,107,NM+ ,,9.8,OW-W , ,1949,D.C. Comics
All American Western ,110,NM ,,7.5,OW , ,1949,D.C. Comics
All American Western ,111,NL ,,8,W , ,1949,D.C. Comics
All American Western ,117,NM+ ,,9.4,W , ,1951,D.C. Comics
All American Western ,118,FN ,,9.2,W ,Not CGC graded ,1951,D.C. Comics
All American Western ,120,NM+ ,,9.4,W , ,1951,D.C. Comics
All American Western ,124,NM ,,8.5,W , ,1952,D.C. Comics
All Flash ,2,NL ,,9.6,OW , ,1941,D.C. Comics
All Flash ,3,NM+ ,,9.6,OW-W ,Mis-cut ,1941,D.C. Comics
All Flash ,7,NM ,,8,W , ,1942,D.C. Comics
All Flash ,12,NM+ ,,9.4,OW-W , , ,D.C. Comics
All Flash ,13,NM+ ,,7.5,OW-W , ,1943,D.C. Comics
All Flash ,17,NM+ ,,9,OW-W , ,1944,D.C. Comics
All Flash ,19,NM+ ,,9.4,OW-W , ,1945,D.C. Comics
All Flash ,21,NM+ ,,9.4,W ,Mis-cut ,1945,D.C. Comics
All Flash ,22,NM+ ,,9.6,OW-W ,Mis-cut ,1946,D.C. Comics
All Flash ,23,NL ,,9.4,OW-W , ,1946,D.C. Comics
All Flash ,25,NM+ ,,9.4,OW-W , ,1946,D.C. Comics
All Flash ,26,NM+ ,,9.6,OW , ,1947,D.C. Comics
All Flash ,27,NM+ ,,9.8,OW-W , ,1947,D.C. Comics
All Flash ,28,NM+ ,,8.5,OW-W , ,1947,D.C. Comics
All Flash ,29,NM+ ,,9.4,OW-W , ,1947,D.C. Comics
All Flash ,32,NM ,,9,OW-W , ,1948,D.C. Comics
All Funny Comics ,1,NM+ ,,9.6,W , ,1943,D.C. Comics
All Funny Comics ,7,NM+ ,,9.4,W , , ,D.C. Comics
All Funny Comics ,8,NM+ ,,9,W , ,1945,D.C. Comics
All Funny Comics ,14,NM ,,8, , , ,D.C. Comics
All Funny Comics ,21,NM ,,9,OW-W , ,1948,D.C. Comics
All Good Comics ,1,NM+ ,,9.2,OW , ,1946,Fox
All Hero Comics ,1,NM ,,7,W , ,1943,Fawcett
All New Comics ,3,NL ,,9.6,W , ,1943,Harvey Publications
All New Comics ,4,NM+ ,,9.4,OW-W , ,1943,Harvey Publications
All New Comics ,5,NM+ ,,9.4,W , ,1943,Harvey Publications
All New Comics ,6,NM+ ,,9.6,W , ,1944,Harvey Publications
All New Comics ,8,NM+ ,,7.5,W , ,1944,Harvey Publications
All New Comics ,9,NM+ ,,9.4,W , ,1944,Harvey Publications
All New Comics ,10,NM+ ,,9.2,W , ,1944,Harvey Publications
All New Comics ,14,FN ,,8.5,W , ,1947,Harvey Publications
All Star Comics ,1,NL ,,9.6,OW-W , ,1940,D.C. Comics
All Star Comics ,2,NM ,,9.2,OW-W , , ,
All Star Comics ,3,NL ,,9.6,OW-W ,Very minor amount of glue on cover ,1940,D.C. Comics
All Star Comics ,6,NL ,,9.6,OW-W , ,1941,D.C. Comics
All Star Comics ,7,NL ,,9.2,W , ,1941,
All Star Comics ,10,NM ,,9.6,W , ,1942,D.C. Comics
All Star Comics ,11,NL ,,9.6,OW-W , ,1942,D.C. Comics
All Star Comics ,12,NL ,,9.4,W , ,1942,D.C. Comics
All Star Comics ,14,NL ,,9.4,W , ,1943,D.C. Comics
All Star Comics ,15,NL ,,8.5,W ,Very minor amount of color touch on cover. Very minor amount of glue on cover ,1943,D.C. Comics
All Star Comics ,17,NL ,,9.6,W , , ,D.C. Comics
All Star Comics ,20,NL ,,9.6,OW-W , ,1944,D.C. Comics
All Star Comics ,21,NL ,,9.4,W , ,1944,D.C. Comics
All Star Comics ,24,NL ,,9.6,OW-W , ,1945,D.C. Comics
All Star Comics ,26,NM+ ,,9.4,W , ,1945,D.C. Comics
All Star Comics ,29,NM+ ,,9.6,W , ,1946,D.C. Comics
All Star Comics ,30,NM ,,9.6,W , , ,D.C. Comics
All Star Comics ,33,FN ,,7.5,W ,Old grade 6.0 FN OW-W ,1947,D.C. Comics
All Star Comics ,47,NM+ ,,9.2,W , ,1949,D.C. Comics
All Star Western ,58,NM ,,8,W ,First issue ,1951,D.C. Comics
All Star Western ,62,NM+ ,,9.4,W , ,1951,D.C. Comics
All Star Western ,64,NM+ ,,9.6,OW-W , ,1952,D.C. Comics
All Top Comics ,1,NL ,,9.4,W , ,1945,Fox
Amazing Comics ,1,NM+ ,,9.4,OW , ,1944,Timely
Amazing Man Comics ,5,NL ,,9.4,OW-W , ,1939,Centaur
