title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher
4 most ,2,NM+ ,,9.2,OW-W , ,1942,Novelty Press
4 most ,3,NM ,,7.5,OW , ,1942,Novelty Press
4 most ,4,NM+ ,,9.6,W , ,1942,Novelty Press
a date with judy,1,NM+,$15.00 ,,,,,
a date with judy,2,NM+,$8.00 ,,,,,
a date with judy,3,NM+,$8.00 ,9.6,OW-W , ,1948,D.C. Comics
a date with judy,4,NM,$6.00 ,,,,,
a date with judy,5,NM+,$8.00 ,,,,,
a date with judy,6,NM+,$8.00 ,,,,,
a date with judy,7,FN,$4.00 ,,,,,
a date with judy,8,NM+,$8.00 ,,,,,
a date with judy,9,G,$2.00 ,,,,,
a date with judy,10,G,$2.00 ,,,,,
a date with judy,11,G,$2.00 ,,,,,
a date with judy,12,FN,$2.00 ,,,,,
a date with judy,13,NM,$3.00 ,,,,,
a date with judy,14,FN,$2.00 ,,,,,
a date with judy,15,G,$2.00 ,,,,,
a date with judy,16,FN,$2.00 ,,,,,
a date with judy,17,FN,$2.00 ,,,,,
a-1 comics,1,NM,$4.00 ,,,,,
a-1 comics,3,NM+,$6.00 ,,,,,
a-1 comics,4,NM+,$6.00 ,,,,,
a-1 comics,5,NM,$6.00 ,,,,,
a-1 comics,6,NM+,$4.00 ,,,,,
a-1 comics,7,NM+,$5.00 ,,,,,
a-1 comics,8,NM+,$5.00 ,,,,,
a-1 comics,9,VG,$3.00 ,,,,,
a-1 comics,10,NM+,$4.00 ,,,,,
abbie & slats,1,FN,$6.00 ,,,,,
abbie & slats,2,FN,$5.00 ,,,,,
abbie & slats,3,NM,$7.00 ,,,,,
abbie & slats,4,NM,$8.00 ,,,,,
abbie & slats (single series),25,G,$8.00 ,,,,,
abbott & costello,1,VG,$6.00 ,,,,,
abbott & costello,2,NM+,$6.00 ,,,,,
abbott & costello,3,NM+,$8.00 ,,,,,
abbott & costello,4,NM+,$7.00 ,,,,,
abbott & costello,5,VG,$3.00 ,,,,,
abbott & costello,6,NM,$7.00 ,,,,,
abbott & costello,7,FN,$4.00 ,,,,,
ace comics ,1,FN ,No Price,7.5,OW-W ,Slight (A) ,1937,David McKay Publishing
ace comics ,2,FN,$65.00 ,,,,,
ace comics ,5,FN,$45.00 ,,,,,
ace comics ,6,VG,$28.00 ,,,,,
ace comics ,7,FN,$30.00 ,,,,,
ace comics ,8,VG,$28.00 ,,,,,
ace comics ,9,VG,$28.00 ,,,,,
ace comics ,10,NM,$45.00 ,,,,,
ace comics ,11,FN,$26.00 ,,,,,
ace comics ,12,NM,$30.00 ,,,,,
ace comics ,13,VG,$14.00 ,,,,,
ace comics ,14,NM,$30.00 ,,,,,
ace comics ,15,NM,$30.00 ,,,,,
ace comics ,16,NM,$30.00 ,,,,,
ace comics ,17,NM,$30.00 ,,,,,
ace comics ,18,VG,$14.00 ,,,,,
ace comics ,19,VG,$14.00 ,,,,,
ace comics ,20,G,$9.00 ,,,,,
ace comics ,21,FN,$24.00 ,,,,,
ace comics ,22,NM,$30.00 ,,,,,
ace comics ,23,NM,$30.00 ,,,,,
ace comics ,24,FN,$24.00 ,,,,,
ace comics ,25,VG,$14.00 ,,,,,
ace comics ,26,FN,$60.00 ,,,,,
ace comics ,27,G,$7.00 ,,,,,
ace comics ,28,VG,$10.00 ,,,,,
ace comics ,29,G,$6.00 ,,,,,
ace comics ,30,G,$6.00 ,,,,,
ace comics ,31,VG,$9.00 ,,,,,
ace comics ,32,VG,$9.00 ,,,,,
ace comics ,34,FN,$13.00 ,,,,,
ace comics ,35,G,$13.00 ,,,,,
ace comics ,36,FN,$15.00 ,,,,,
ace comics ,37,G,$5.00 ,,,,,
ace comics ,38,G,$5.00 ,,,,,
ace comics ,39,FN,$15.00 ,,,,,
ace comics ,40,VG,$9.00 ,,,,,
ace comics ,41,G,$4.00 ,9,OW-W , ,1940,David McKay Publishing
ace comics ,42,VG,$7.00 ,,,,,
ace comics ,45,VG,$7.00 ,,,,,
ace comics ,46,VG,$7.00 ,,,,,
ace comics ,47,VG,$7.00 ,,,,,
ace comics ,48,VG,$7.00 ,,,,,
ace comics ,49,VG,$7.00 ,,,,,
ace comics ,50,G,$4.00 ,,,,,
ace comics ,51,VG,$5.00 ,,,,,
ace comics ,53,G,$5.00 ,,,,,
ace comics ,54,VG,$9.00 ,,,,,
ace comics ,55,NM,$13.00 ,6.5,W , ,1941,David McKay Publishing
ace comics ,56,FN,$8.00 ,,,,,
ace comics ,57,FN,$8.00 ,,,,,
ace comics ,66,FN,$7.00 ,,,,,
ace comics ,68,VG,$5.00 ,,,,,
ace comics ,69,NM+,$15.00 ,,,,,
ace comics ,71,NL ,,8.5,OW-W , ,1943,David McKay Publishing
ace comics ,73,FN,$7.00 ,,,,,
ace comics ,90,VG,$5.00 ,,,,,
ace comics ,91,FN,$5.00 ,,,,,
ace comics ,93,FN,$5.00 ,,,,,
ace comics ,95,VG,$4.00 ,,,,,
ace comics ,97,FN,$5.00 ,,,,,
ace comics ,98,VG,$4.00 ,,,,,
ace comics ,99,VG,$4.00 ,,,,,
ace comics ,100,NM,$8.00 ,,,,,
ace comics ,102,FN,$5.00 ,,,,,
ace comics ,103,VG,$3.00 ,,,,,
ace comics ,104,G,$2.00 ,,,,,
ace comics ,105,FN,$5.00 ,9,CR-OW , ,1945,David McKay Publishing
ace comics ,107,NM,$7.00 ,,,,,
ace comics ,111,NM,$7.00 ,,,,,
ace comics ,112,VG,$3.00 ,,,,,
ace comics ,113,NM,$7.00 ,7,W , ,1946,David McKay Publishing
ace comics ,115,NM,$7.00 ,7.5,OW-W , ,1946,David McKay Publishing
ace comics ,118,VG,$3.00 ,,,,,
ace comics ,119,VG,$3.00 ,,,,,
ace comics ,122,FN,$5.00 ,,,,,
ace comics ,126,VG,$3.00 ,,,,,
ace comics ,127,VG,$5.00 ,,,,,
ace comics ,128,FN,$5.00 ,,,,,
ace comics ,131,VG,$3.00 ,,,,,
ace comics ,132,VG,$3.00 ,,,,,
ace comics ,133,VG,$3.00 ,,,,,
ace comics ,134,FN,$5.00 ,,,,,
ace comics ,135,FN,$5.00 ,,,,,
ace comics ,137,VG,$3.00 ,,,,,
ace comics ,139,VG,$3.00 ,,,,,
ace comics ,141,NM,$7.00 ,,,,,
ace comics ,144,NM,$7.00 ,,,,,
ace comics ,145,VG,$3.00 ,,,,,
ace comics ,146,NM+,$8.00 ,,,,,
ace comics ,148,G,$2.00 ,,,,,
action comics ,22,NM,$180.00 ,,,,,
action comics ,23,FN,$145.00 ,,,,,
action comics ,27,NM,$150.00 ,,,,,
action comics ,28,NM,$150.00 ,,,,,
action comics ,29,NM,$150.00 ,,,,,
action comics ,30,NM+,$150.00 ,,,,,
action comics ,32,NM,$100.00 ,,,,,
action comics ,34,NM,$125.00 ,,,,,
action comics ,36,NM,$100.00 ,,,,,
action comics ,38,NM+,$125.00 ,,,,,
action comics ,42,NM,$100.00 ,,,,,
action comics ,44,NM,$85.00 ,,,,,
action comics ,45,NM,$85.00 ,,,,,
action comics ,49,NM,$85.00 ,,,,,
action comics ,57,NM,$60.00 ,,,,,
action comics ,59,NM,$60.00 ,,,,,
action comics ,61,NM,$55.00 ,,,,,
action comics ,65,NM,$55.00 ,,,,,
action comics ,67,NM,$55.00 ,,,,,
action comics ,68,NM+,$65.00 ,,,,,
action comics ,71,NM+,$50.00 ,,,,,
action comics ,73,NM+,$50.00 ,,,,,
action comics ,75,NM+,$50.00 ,,,,,
action comics ,76,NM+,$50.00 ,,,,,
action comics ,77,NM,$40.00 ,,,,,
action comics ,78,NM+,$40.00 ,,,,,
action comics ,79,NM,$40.00 ,,,,,
action comics ,80,NM+,$40.00 ,,,,,
action comics ,81,NM+,$35.00 ,,,,,
action comics ,82,NM,$35.00 ,,,,,
action comics ,83,NM+,$45.00 ,,,,,
action comics ,84,NM+,$45.00 ,,,,,
action comics ,85,NM+,$45.00 ,,,,,
action comics ,86,NM+,$45.00 ,,,,,
action comics ,87,NM+,$45.00 ,,,,,
action comics ,88,NM+,$45.00 ,,,,,
action comics ,90,NM+,$45.00 ,,,,,
action comics ,91,NM+,$40.00 ,,,,,
action comics ,92,NM+,$40.00 ,,,,,
action comics ,93,NM+,$40.00 ,,,,,
action comics ,94,NM+,$40.00 ,,,,,
action comics ,95,NM+,$40.00 ,,,,,
action comics ,96,NM+,$40.00 ,,,,,
action comics ,98,NM,$35.00 ,,,,,
action comics ,99,NM+,$40.00 ,,,,,
action comics ,100,VG,$12.00 ,,,,,
action comics ,103,NM,$30.00 ,,,,,
action comics ,104,NM+,$35.00 ,,,,,
action comics ,106,NM,$30.00 ,,,,,
action comics ,108,NM+,$35.00 ,,,,,
action comics ,109,NM,$30.00 ,,,,,
action comics ,111,NM+,$35.00 ,,,,,
action comics ,112,NM+,$35.00 ,,,,,
action comics ,113,NM,$30.00 ,,,,,
action comics ,115,NM+,$35.00 ,,,,,
action comics ,116,NM+,$35.00 ,,,,,
action comics ,117,FAIR,$3.00 ,,,,,
action comics ,118,NM+,$35.00 ,,,,,
action comics ,119,NM+,$35.00 ,,,,,
action comics ,120,NM+,$35.00 ,,,,,
action comics ,124,VG,$9.00 ,,,,,
action comics ,126,NM,$25.00 ,,,,,
action comics ,127,NM,$25.00 ,,,,,
action comics ,128,NM,$25.00 ,,,,,
action comics ,129,NM+,$30.00 ,,,,,
action comics ,131,NM+,$24.00 ,,,,,
action comics ,132,VG,$7.00 ,,,,,
action comics ,133,NM+,$25.00 ,,,,,
action comics ,134,FN,$11.00 ,,,,,
action comics ,135,G,$4.00 ,,,,,
action comics ,137,NM,$18.00 ,,,,,
action comics ,140,NM,$18.00 ,,,,,
action comics ,141,FN,$11.00 ,,,,,
action comics ,142,NM,$22.00 ,,,,,
action comics ,144,FN,$11.00 ,,,,,
action comics ,146,NM+,$22.00 ,,,,,
action comics ,147,VG,$7.00 ,,,,,
action comics ,148,NM,$18.00 ,,,,,
action comics ,149,VG,$7.00 ,,,,,
action comics ,150,NM,$18.00 ,,,,,
action comics ,151,NM,$18.00 ,,,,,
action comics ,152,NM,$18.00 ,,,,,
action comics ,153,FN,$11.00 ,,,,,
action comics ,154,NM+,$25.00 ,,,,,
action comics ,155,NM,$18.00 ,,,,,
action comics ,156,NM,$18.00 ,,,,,
action comics ,157,NM,$18.00 ,,,,,
action comics ,158,FN,$11.00 ,,,,,
action comics ,159,NM,$18.00 ,,,,,
action comics ,160,NM,$18.00 ,,,,,
action comics ,162,FN,$9.00 ,,,,,
action comics ,163,NM,$16.00 ,,,,,
action comics ,164,FN,$9.00 ,,,,,
action comics ,165,VG,$5.00 ,,,,,
action comics ,166,NM,$16.00 ,,,,,
action comics ,167,NM,$16.00 ,,,,,
action comics ,169,VG,$5.00 ,,,,,
action comics ,170,G,$3.00 ,,,,,
action comics ,171,G,$3.00 ,,,,,
action comics ,172,FN,$9.00 ,,,,,
action comics ,173,FN,$9.00 ,,,,,
action comics ,174,FN,$9.00 ,,,,,
action comics ,176,FN,$9.00 ,,,,,
action comics ,178,FN,$9.00 ,,,,,
action comics ,179,FN,$9.00 ,,,,,
action comics ,180,VG,$5.00 ,,,,,
action comics ,181,FN,$8.00 ,,,,,
action comics ,185,FN,$8.00 ,,,,,
action comics ,24,NL ,,9.4,W , ,1940,D.C. Comics
action comics ,25,NL ,,9.6,W , ,1940,D.C. Comics
