Title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher,Comments
dakota lil,NN,NM+,$20.00 ,,,,1949,Fawcett,
dale evans comics ,1,NM,$30.00 ,9.4,OW-W , ,1948,National,
dale evans comics ,2,NM+,$12.00 ,,,,1949,National,
dale evans comics ,3,NM+,$15.00 ,,,,1949,National,
dale evans comics ,4,NM+,$15.00 ,9.6,OW-W ,Old grade NM- 9.2 ,1949,National,
dale evans comics ,5,NM+,$15.00 ,9.2,W , ,1949,National,
dale evans comics ,6,NM+,$15.00 ,9.8,W , ,1949,National,
dale evans comics ,7,NM+,$15.00 ,9.2,OW-W , ,1949,National,
dale evans comics ,8,NM+,$15.00 ,9.6,OW-W , ,1949,National,
dale evans comics ,9,NM+,$15.00 ,9.4,OW-W , ,1950,National,
dale evans comics ,10,NM+,$15.00 ,,,,1950,National,
dale evans comics ,11,NM+,$15.00 ,9,OW-W , ,1950,National,
dale evans comics ,12,NM+,$7.00 ,,,,1950,National,
dale evans comics ,13,NM,$7.00 ,,,,1950,National,
dale evans comics ,14,NM+,$9.00 ,9.6,OW-W , ,1950,National,
dale evans comics ,15,NM+,$9.00 ,6.5,OW-W , ,1951,National,
dale evans comics ,16,VG,$4.00 ,3.5,W ,Tears on most pages ,1951,National,
dale evans comics ,17,NM,$7.00 ,9,W , ,1951,National,
dale evans comics ,18,FN,$5.00 ,,,,1951,National,
dale evans comics ,19,NM,$7.00 ,7.5,W , ,1951,National,
dale evans comics ,20,NM+,$9.00 ,9.2,W , ,1951,National,
dale evans comics ,21,NM+,$9.00 ,9,W , ,1952,National,
dale evans comics ,22,VG,$4.00 ,,,,1952,National,
dale evans comics ,23,NM+,$9.00 ,9,W , ,1952,National,
dale evans comics ,24,FN,$5.00 ,4.5,OW-W , ,1952,National,
dalton boys,NN,NM+,$12.00 ,,,,1951,Avon,
danger,1,FN,$4.00 ,,,,1954,Charlton,
danger,2,VG,$3.00 ,,,,1954,Charlton,
danger,10,NM,$4.00 ,,,,1955,Charlton,
danger trail,1,NM,$30.00 ,,,,1950,National,
danger trail,2,NM+,$20.00 ,,,,1950,National,
danger trail,3,NM+,$20.00 ,,,,1950,National,
danger trail,4,NM,$15.00 ,,,,1951,National,
danger trail,5,NM,$15.00 ,,,,1951,National,
daredevil comics ,1,NM,$900.00 ,9,W , ,1941,Lev Gleason,
daredevil comics ,2,NM,$300.00 ,,,,1941,Lev Gleason,
daredevil comics ,3,NM+,$300.00 ,,,,1941,Lev Gleason,
daredevil comics ,4,NM,$180.00 ,,,,1941,Lev Gleason,
daredevil comics ,5,NM,$150.00 ,,,,1941,Lev Gleason,
daredevil comics ,6,NM,$110.00 ,,,,1941,Lev Gleason,
daredevil comics ,7,NM,$110.00 ,,,,1942,Lev Gleason,
daredevil comics ,8,NM,$110.00 ,,,,1942,Lev Gleason,
daredevil comics ,9,FN,$75.00 ,,,,1942,Lev Gleason,
daredevil comics ,10,NM,$110.00 ,,,,1942,Lev Gleason,
daredevil comics ,11,NM+,$120.00 ,,,,1942,Lev Gleason,
daredevil comics ,12,NM+,$180.00 ,,,,1942,Lev Gleason,
daredevil comics ,13,NM,$110.00 ,,,,1942,Lev Gleason,
daredevil comics ,14,NM,$65.00 ,,,,1942,Lev Gleason,
daredevil comics ,15,NM,$65.00 ,,,,1943,Lev Gleason,
daredevil comics ,16,FN,$40.00 ,,,,1943,Lev Gleason,
daredevil comics ,17,NM,$50.00 ,,,,1943,Lev Gleason,
daredevil comics ,18,NM+,$120.00 ,,,,1943,Lev Gleason,
daredevil comics ,19,FN,$30.00 ,,,,1943,Lev Gleason,
daredevil comics ,20,NM,$45.00 ,,,,1943,Lev Gleason,
daredevil comics ,21,NM,$35.00 ,,,,1944,Lev Gleason,
daredevil comics ,22,NM,$20.00 ,,,,1944,Lev Gleason,
daredevil comics ,23,NM,$20.00 ,,,,1944,Lev Gleason,
daredevil comics ,24,NM+,$27.00 ,,,,1944,Lev Gleason,
daredevil comics ,25,FN,$13.00 ,,,,1944,Lev Gleason,
daredevil comics ,26,NM+,$27.00 ,,,,1944,Lev Gleason,
daredevil comics ,27,NM,$20.00 ,,,,1944,Lev Gleason,
daredevil comics ,28,NM,$20.00 ,,,,1945,Lev Gleason,
daredevil comics ,29,NM+,$27.00 ,,,,1945,Lev Gleason,
daredevil comics ,30,NM,$20.00 ,,,,1945,Lev Gleason,
daredevil comics ,31,NM+,$45.00 ,,,,1945,Lev Gleason,
daredevil comics ,32,FN,$8.00 ,,,,1945,Lev Gleason,
daredevil comics ,33,NM+,$16.00 ,,,,1945,Lev Gleason,
daredevil comics ,34,NM+,$16.00 ,,,,1946,Lev Gleason,
daredevil comics ,35,FN,$8.00 ,,,,1946,Lev Gleason,
daredevil comics ,36,NM+,$16.00 ,,,,1946,Lev Gleason,
daredevil comics ,37,NM+,$16.00 ,,,,1946,Lev Gleason,
daredevil comics ,38,FN,$13.00 ,,,,1946,Lev Gleason,
daredevil comics ,39,NM+,$16.00 ,,,,1946,Lev Gleason,
daredevil comics ,40,NM+,$16.00 ,,,,1947,Lev Gleason,
daredevil comics ,41,NM,$8.00 ,,,,1947,Lev Gleason,
daredevil comics ,42,NM+,$11.00 ,,,,1947,Lev Gleason,
daredevil comics ,43,NM+,$11.00 ,,,,1947,Lev Gleason,
daredevil comics ,44,NM+,$11.00 ,,,,1947,Lev Gleason,
daredevil comics ,45,NM+,$11.00 ,,,,1947,Lev Gleason,
daredevil comics ,46,NM,$8.00 ,,,,1948,Lev Gleason,
daredevil comics ,47,NM+,$11.00 ,,,,1948,Lev Gleason,
daredevil comics ,48,NM+,$11.00 ,,,,1948,Lev Gleason,
daredevil comics ,49,NM,$8.00 ,,,,1948,Lev Gleason,
daredevil comics ,50,NM,$8.00 ,,,,1948,Lev Gleason,
daredevil comics ,52,NM,$7.00 ,,,,1949,Lev Gleason,
daredevil comics ,53,FN,$4.00 ,,,,1949,Lev Gleason,
daredevil comics ,54,FN,$4.00 ,,,,1949,Lev Gleason,
daredevil comics ,55,FN,$4.00 ,,,,1949,Lev Gleason,
daredevil comics ,56,FN,$4.00 ,,,,1949,Lev Gleason,
daredevil comics ,58,NM,$7.00 ,,,,1950,Lev Gleason,
daredevil comics ,60,NM,$7.00 ,,,,1950,Lev Gleason,
daredevil comics ,61,VG,$3.00 ,,,,1950,Lev Gleason,
daredevil comics ,62,NM,$7.00 ,,,,1950,Lev Gleason,
daredevil comics ,64,VG,$3.00 ,,,,1950,Lev Gleason,
daredevil comics ,65,VG,$3.00 ,,,,1950,Lev Gleason,
daredevil comics ,68,VG,$3.00 ,,,,1950,Lev Gleason,
daredevil comics ,71,VG,$2.00 ,,,,1951,Lev Gleason,
daredevil comics ,76,FN,$3.00 ,,,,1951,Lev Gleason,
daring,1,NM+,"$2,000.00 ",,,,1940,Timely,
daring,2,NM+,"$1,100.00 ",,,,1940,Timely,
daring,3,NM+,$900.00 ,,,,1940,Timely,
daring,4,NM,$550.00 ,,,,1940,Timely,
daring,5,NM,$375.00 ,,,,1940,Timely,
daring,6,NM+,$500.00 ,,,,1940,Timely,
daring,7,NM+,$550.00 ,,,,1941,Timely,
daring,8,NM,$450.00 ,,,,1941,Timely,
daring,9,NM+,$110.00 ,,,,1944,Timely,
daring,10,NM+,$110.00 ,,,,1944,Timely,
daring,12,NM+,$100.00 ,,,,1945,Timely,
daring confessions,1,FN,$5.00 ,,,,1952,Youthful,
daring love,1,VG,$5.00 ,,,,1953,Gilmore,
daring love,15,FN,$3.00 ,,,,1952,Youthful,
daring love,16,VG,$3.00 ,,,,1953,Youthful,
daring love,17,FN,$3.00 ,,,,1953,Youthful,
dark mysteries,1,NM+,$20.00 ,,,,1951,Master Publications,
dark mysteries,2,NM+,$20.00 ,,,,1951,Master Publications,
dark mysteries,3,NM+,$5.00 ,,,,1951,Master Publications,
dark mysteries,4,NM+,$5.00 ,,,,1951,Master Publications,
dark mysteries,5,NM+,$5.00 ,,,,1952,Master Publications,
dark mysteries,6,FN,$3.00 ,,,,1952,Master Publications,
dark mysteries,7,NM,$4.00 ,,,,1952,Master Publications,
dark mysteries,8,NM,$4.00 ,,,,1952,Master Publications,
dark mysteries,10,NM,$4.00 ,,,,1953,Master Publications,
dark mysteries,11,VG,$4.00 ,,,,1953,Master Publications,
dark mysteries,14,NM,$4.00 ,,,,1953,Master Publications,
darling love,1,NM+,$5.00 ,,,,1949,MLJ,
darling love,2,FN,$3.00 ,,,,1950,MLJ,
darling love,3,FN,$3.00 ,,,,1950,MLJ,
darling love,4,VG,$2.00 ,,,,1950,MLJ,
darling love,5,NM,$4.00 ,,,,1950,MLJ,
darling love,6,VG,$2.00 ,,,,1950,MLJ,
darling love,8,FN,$3.00 ,,,,1951,MLJ,
darling love,9,FN,$3.00 ,,,,1952,MLJ,
darling love,11,NM,$4.00 ,,,,1952,MLJ,
darling romance,1,FN,$5.00 ,,,,1949,MLJ,
darling romance,2,VG,$2.00 ,,,,1949,MLJ,
darling romance,3,FN,$3.00 ,,,,1950,MLJ,
darling romance,5,VG,$2.00 ,,,,1950,MLJ,
darling romance,6,VG,$2.00 ,,,,1950,MLJ,
darling romance,7,FN,$3.00 ,,,,1950,MLJ,
date with danger,5,NM+,$4.00 ,,,,1952,Standard,
date with danger,6,FN,$3.00 ,,,,1953,Standard,
davy crockett (avon),NN,FN,$6.00 ,,,,1951,Avon,
davy crockett (fc),631,FN,$3.00 ,,,,1955,Dell,
dead end crime stories,NN,VG,$4.00 ,,,,1949,Kirby Publications,
dead-eye western,1,NM,$5.00 ,,,,1948,Hillman,
dead-eye western,2,G,$2.00 ,,,,1949,Hillman,
dead-eye western,4,VG,$3.00 ,,,,1949,Hillman,
dead-eye western,5,NM,$4.00 ,,,,1949,Hillman,
dead-eye western,6,NM+,$5.00 ,,,,1949,Hillman,
dead-eye western,7,NM+,$5.00 ,,,,1949,Hillman,
dead-eye western,8,NM+,$5.00 ,,,,1950,Hillman,
dead-eye western,9,NM,$4.00 ,,,,1950,Hillman,
dead-eye western,10,NM+,$5.00 ,,,,1950,Hillman,
dead-eye western,11,NM,$4.00 ,,,,1950,Hillman,
dead-eye western,12,NM+,$5.00 ,,,,1950,Hillman,
