Title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher,Comments
gabby hayes,1,NM+,$25.00 ,,,,1948,Fawcett,
gabby hayes,2,FN,$5.00 ,,,,1949,Fawcett,
gabby hayes,3,NM+,$10.00 ,,,,1949,Fawcett,
gabby hayes,4,NM+,$10.00 ,,,,1949,Fawcett,
gabby hayes,5,NM+,$10.00 ,,,,1949,Fawcett,
gabby hayes,6,NM,$7.00 ,,,,1949,Fawcett,
gabby hayes,7,NM+,$10.00 ,,,,1949,Fawcett,
gabby hayes,8,NM+,$10.00 ,,,,1949,Fawcett,
gabby hayes,9,VG,$3.00 ,,,,1949,Fawcett,
gabby hayes,10,FN,$7.00 ,,,,1949,Fawcett,
gabby hayes,11,NM,$6.00 ,,,,1949,Fawcett,
gabby hayes,12,NM+,$9.00 ,,,,1949,Fawcett,
gabby hayes,14,VG,$3.00 ,,,,1949,Fawcett,
gabby hayes,15,NM,$6.00 ,,,,1949,Fawcett,
gabby hayes,16,NM,$6.00 ,,,,1950,Fawcett,
gabby hayes,17,NM,$6.00 ,,,,1950,Fawcett,
gabby hayes,18,NM+,$9.00 ,,,,1950,Fawcett,
gabby hayes,19,NM,$6.00 ,,,,1950,Fawcett,
gabby hayes,21,FN,$4.00 ,,,,1950,Fawcett,
gabby hayes,24,VG,$3.00 ,,,,1950,Fawcett,
gabby hayes,26,FN,$4.00 ,,,,1951,Fawcett,
gabby hayes,27,FN,$4.00 ,,,,1951,Fawcett,
gabby hayes,30,NM,$5.00 ,,,,1951,Fawcett,
gabby hayes,32,FN,$4.00 ,,,,1951,Fawcett,
gabby hayes,34,NM+,$7.00 ,,,,1951,Fawcett,
gabby hayes,35,FN,$4.00 ,,,,1951,Fawcett,
gabby hayes,36,FN,$4.00 ,,,,1951,Fawcett,
gabby hayes,37,NM+,$7.00 ,,,,1951,Fawcett,
gabby hayes,46,VG,$3.00 ,,,,1952,Fawcett,
gabby hayes,49,FN,$4.00 ,,,,1952,Fawcett,
gang busters,1,NM+,$30.00 ,9.4,W , ,1947,National,
gang busters,2,NM+,$15.00 ,9.6,OW-W , ,1948,National,
gang busters,3,NM,$3.00 ,8,OW , ,1948,National,
gang busters,4,NM+,$8.00 ,,,,1948,National,
gang busters,5,FN,$4.00 ,,,,1948,National,
gang busters,6,NM+,$8.00 ,9.6,OW-W ,Old grade NM 9.4 Mis-cut (Greg manning auc.) ,1948,National,
gang busters,7,NM+,$8.00 ,9,OW-W , ,1949,National,
gang busters,8,NM+,$8.00 ,,,,1949,National,
gang busters,9,VG,$3.00 ,9.6,OW-W , ,1949,National,
gang busters,10,FN,$4.00 ,6.5,W , ,1949,National,
gang busters,11,NM+,$5.00 ,9.6,W ,Mis-cut ,1949,National,
gang busters,12,NM,$4.00 ,,,,1949,National,
gang busters,13,NM+,$5.00 ,9.4,W , ,1950,National,
