Title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher,Comments
jack armstrong,1,NM,$12.00 ,,,,1947,Parents' Magazine,
jack armstrong,2,NM+,$7.00 ,9,OW , ,1947,Parents' Magazine,
jack armstrong,3,NM,$5.00 ,,,,1948,Parents' Magazine,
jack armstrong,4,NM+,$7.00 ,,,,1948,Parents' Magazine,
jack armstrong,5,NM,$5.00 ,,,,1948,Parents' Magazine,
jack armstrong,6,FN,$3.00 ,,,,1948,Parents' Magazine,
jack armstrong,7,NM,$4.00 ,,,,1948,Parents' Magazine,
jack armstrong,8,NM,$4.00 ,,,,1948,Parents' Magazine,
jack armstrong,9,NM,$4.00 ,,,,1948,Parents' Magazine,
jack armstrong,10,NM+,$5.00 ,,,,1949,Parents' Magazine,
jack armstrong,12,FN,$3.00 ,,,,1949,Parents' Magazine,
jack armstrong,13,NM,$4.00 ,,,,1949,Parents' Magazine,
jack in the box comics,12,NM+,$7.00 ,,,,1947,Charlton,
jack in the box comics,15,NM+,$5.00 ,,,,1947,Charlton,
jack the giant killer,1,G,$2.00 ,,,,1963,Dell,
jackpot comics,1,NM+,$240.00 ,,,,1941,MLJ,
jackpot comics,2,NM+,$60.00 ,,,,1941,MLJ,
jackpot comics,3,NM+,$90.00 ,,,,1941,MLJ,
jackpot comics,4,NM+,$100.00 ,,,,1941,MLJ,
jackpot comics,5,NM,$70.00 ,,,,1942,MLJ,
jackpot comics,6,NM+,$60.00 ,,,,1942,MLJ,
jackpot comics,7,NM+,$60.00 ,,,,1942,MLJ,
jackpot comics,8,NM+,$60.00 ,,,,1942,MLJ,
jackpot comics,9,NM+,$60.00 ,,,,1943,MLJ,
jamboree,1,VG,$2.00 ,,,,1946,Round,
jane arden,1,NM,$2.00 ,,,,1948,St. John,
jann of the jungle,8,NM+,$20.00 ,,,,1955,Timely,
jann of the jungle,9,NM+,$20.00 ,,,,1956,Timely,
jann of the jungle,10,NM+,$20.00 ,,,,1956,Timely,
