Title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher,Comments
mackenzies raiders (fc),1093,NM,$4.00 ,,,,1960,Dell,
mad,1,VG,$110.00 ,,W ,GD/VG 3.0 ,1952,E.C.,
mad,3,FN,$45.00 ,4.5,OW , ,1953,E.C.,
mad,17,VG,$15.00 ,,,,1954,E.C.,
mad,21,VG,$10.00 ,,,,1955,E.C.,
mad hatter,1,NM,$10.00 ,9,W , ,1946,O.W. Comics,
mad hatter,2,NM,$10.00 ,9.2,OW-W , ,1946,O.W. Comics,
mandrake (comics hits),53,FN,$10.00 ,,,,1951,Harvey,
mandrake the magician (feature book),46,NM,$40.00 ,,,,1946,David McKay,
mandrake the magician (feature book),52,NM+,$35.00 ,,,,1948,David McKay,
mandrake the magician (feature book),55,NM+,$30.00 ,,,,1948,David McKay,
magic comics,1,FN,$65.00 ,6,OW-W ,&quot;'Reader's Guild' flier attached to 1st page with tiny amount of glue ,1939,David McKay,
magic comics ,3,FN ,,5.5,OW-W , ,1939,David McKay,
magic comics,2,FN,$30.00 ,,,,1939,David McKay,
magic comics,5,FN,$17.00 ,,,,1939,David McKay,
magic comics,6,FN,$12.00 ,,,,1940,David McKay,
magic comics,7,FN,$12.00 ,,,,1940,David McKay,
magic comics,9,VG,$8.00 ,,,,1940,David McKay,
magic comics,10,NM,$17.00 ,9,OW-W , ,1940,David McKay,
magic comics,12,NM,$15.00 ,7,OW-W ,&quot;Reader's Guild&quot; flyer glued on 1st page ,1940,David McKay,
magic comics,14,FN,$11.00 ,6.5,W , ,1940,David McKay,
magic comics,15,NM,$15.00 ,,,,1940,David McKay,
magic comics,16,NM,$15.00 ,,,,1940,David McKay,
magic comics,17,NM+,$20.00 ,,,,1940,David McKay,
magic comics,18,NM,$15.00 ,,,,1941,David McKay,
magic comics,19,NM,$15.00 ,,,,1941,David McKay,
magic comics,20,FN,$20.00 ,,,,1941,David McKay,
magic comics,22,VG,$6.00 ,,,,1941,David McKay,
magic comics,23,FN,$9.00 ,,,,1941,David McKay,
magic comics,24,NM,$13.00 ,,,,1941,David McKay,
magic comics,25,NM+,$16.00 ,,,,1941,David McKay,
magic comics,27,NM,$13.00 ,,,,1941,David McKay,
magic comics,28,NM+,$16.00 ,,,,1941,David McKay,
magic comics,29,NM,$13.00 ,,,,1941,David McKay,
magic comics,30,NM,$13.00 ,,,,1942,David McKay,
magic comics,31,NM+,$13.00 ,,,,1942,David McKay,
magic comics,32,NM+,$13.00 ,,,,1942,David McKay,
magic comics,33,NM+,$13.00 ,,,,1942,David McKay,
magic comics,34,NM+,$13.00 ,,,,1942,David McKay,
magic comics,35,NM+,$13.00 ,,,,1942,David McKay,
magic comics,36,NM+,$13.00 ,,,,1942,David McKay,
magic comics,37,NM,$10.00 ,,,,1942,David McKay,
magic comics,38,NM+,$13.00 ,,,,1942,David McKay,
magic comics,39,NM,$10.00 ,,,,1942,David McKay,
magic comics,40,NM+,$13.00 ,9,W , ,1942,David McKay,
magic comics,41,NM,$7.00 ,9,W , ,1942,David McKay,
magic comics,42,NM,$7.00 ,9.2,W , ,1943,David McKay,
magic comics,43,NM,$7.00 ,,,,1943,David McKay,
magic comics,44,NM,$7.00 ,,,,1943,David McKay,
magic comics,45,VG,$3.00 ,,,,1943,David McKay,
magic comics,46,NM,$7.00 ,,,,1943,David McKay,
magic comics,47,NM,$7.00 ,,,,1943,David McKay,
magic comics,50,NM,$7.00 ,,,,1943,David McKay,
magic comics,51,NM,$6.00 ,,,,1943,David McKay,
magic comics,52,NM,$6.00 ,,,,1943,David McKay,
magic comics,53,NM,$6.00 ,,,,1943,David McKay,
magic comics,54,NM,$6.00 ,,,,1944,David McKay,
magic comics,55,NM,$6.00 ,,,,1944,David McKay,
magic comics,56,NM,$6.00 ,,,,1944,David McKay,
magic comics,57,NM+,$8.00 ,,,,1944,David McKay,
magic comics,58,NM+,$8.00 ,,,,1944,David McKay,
magic comics,59,NM,$6.00 ,,,,1944,David McKay,
magic comics,60,NM,$6.00 ,,,,1944,David McKay,
magic comics,61,NM,$5.00 ,,,,1944,David McKay,
magic comics,62,NM,$5.00 ,,,,1944,David McKay,
magic comics,63,NM,$5.00 ,,,,1944,David McKay,
magic comics,64,NM,$5.00 ,,,,1944,David McKay,
magic comics,65,NM,$5.00 ,,,,1944,David McKay,
magic comics,66,NM+,$7.00 ,,,,1945,David McKay,
magic comics,67,NM+,$7.00 ,,,,1945,David McKay,
magic comics,68,NM,$5.00 ,,,,1945,David McKay,
