Title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher,Comments
pancho villa,NN,NM,$12.00 ,,,,1950,Avon,
panhandle pete & jennifer,2,NM+,$6.00 ,,,,1951,Dearfield,
parole breakers,1,FN,$6.00 ,,,,1951,Avon,
parole breakers,3,NM+,$10.00 ,,,,1952,Avon,
patches,1,NM+,$6.00 ,,,,1945,Rural Home,
patches,2,NM+,$5.00 ,,,,1946,Rural Home,
patches,3,NM+,$5.00 ,,,,1946,Rural Home,
patches,4,NM+,$5.00 ,,,,1946,Rural Home,
patches,5,NM+,$5.00 ,,,,1946,Rural Home,
patches,6,NM+,$5.00 ,,,,1947,Rural Home,
patches,7,NM+,$5.00 ,,,,1947,Rural Home,
patches,8,NM+,$5.00 ,,,,1947,Rural Home,
patches,9,NM,$4.00 ,,,,1947,Rural Home,
patches,10,NM+,$5.00 ,,,,1947,Rural Home,
patches,11,NM+,$5.00 ,,,,1947,Rural Home,
patsy & hedy,4,FN,$4.00 ,,,,1952,Timely,
patsy & hedy,11,NM,$4.00 ,,,,1953,Timely,
patsy walker,1,NM+,$40.00 ,,,,1945,Timely,
patsy walker,2,NM+,$18.00 ,,,,1945,Timely,
patsy walker,3,NM,$10.00 ,,,,1946,Timely,
patsy walker,4,NM,$10.00 ,,,,1946,Timely,
patsy walker,5,NM+,$12.00 ,,,,1946,Timely,
patsy walker,6,NM,$10.00 ,,,,1946,Timely,
patsy walker,7,NM+,$12.00 ,,,,1946,Timely,
patsy walker,8,NM+,$12.00 ,,,,1946,Timely,
patsy walker,9,NM+,$12.00 ,,,,1947,Timely,
patsy walker,10,NM+,$12.00 ,,,,1947,Timely,
patsy walker,11,NM+,$8.00 ,,,,1947,Timely,
patsy walker,12,NM+,$8.00 ,,,,1947,Timely,
patsy walker,13,NM+,$12.00 ,,,,1947,Timely,
patsy walker,14,NM,$10.00 ,,,,1947,Timely,
patsy walker,15,NM+,$8.00 ,,,,1948,Timely,
patsy walker,16,NM+,$8.00 ,,,,1948,Timely,
patsy walker,17,NM,$10.00 ,,,,1948,Timely,
patsy walker,18,G,$2.00 ,,,,1948,Timely,
patsy walker,19,NM+,$12.00 ,9,OW-W , ,1948,Timely,
patsy walker,20,VG,$5.00 ,,,,1949,Timely,
patsy walker,21,FN,$7.00 ,,,,1949,Timely,
patsy walker,22,NM,$10.00 ,,,,1949,Timely,
patsy walker,23,VG,$3.00 ,,,,1949,Timely,
patsy walker,24,NM,$36.00 ,,,,1949,Timely,
patsy walker,25,VG,$5.00 ,,,,1949,Timely,
patsy walker,26,VG,$3.00 ,,,,1950,Timely,
patsy walker,32,FN,$3.00 ,,,,1951,Timely,
patsy walker,35,FN,$3.00 ,,,,1951,Timely,
patsy walker,36,VG,$2.00 ,,,,1951,Timely,
patsy walker,37,VG,$2.00 ,,,,1951,Timely,
patsy walker,44,VG,$2.00 ,,,,1953,Timely,
patsy walker,45,NM,$4.00 ,,,,1953,Timely,
pawnee bill,1,NM+,$8.00 ,,,,1951,Story,
pawnee bill,2,NM,$5.00 ,,,,1951,Story,
pawnee bill,3,NM+,$6.00 ,,,,1951,Story,
pay-off,1,NM+,$6.00 ,,,,1948,D.S. Publishing,
pay-off,2,VG,$2.00 ,,,,1948,D.S. Publishing,
pay-off,3,NM+,$5.00 ,8,OW-W , ,1948,D.S. Publishing,
pay-off,4,NM+,$5.00 ,9.2,W , ,1949,D.S. Publishing,
pay-off,5,NM,$5.00 ,8,OW , ,1949,D.S. Publishing,
pedro,18,NM,$5.00 ,,,,1950,Fox,
penny,1,NM+,$8.00 ,,,,1947,Avon,
penny,2,NM+,$5.00 ,,,,1948,Avon,
penny,3,FN,$3.00 ,,,,1948,Avon,
penny,4,FN,$3.00 ,,,,1949,Avon,
penny,5,VG,$2.00 ,,,,1949,Avon,
penny,6,FN,$3.00 ,,,,1949,Avon,
pep,2,NM+,$200.00 ,,,,1940,MLJ,
pep,3,NM+,$200.00 ,,,,1940,MLJ,
