Title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher,Comments
saari,1,VG,$6.00 ,,,,1951,P.L. Publishing,
sabu,2,VG,$2.00 ,,,,1950,Fox,
sabu,30,NM+,$25.00 ,,,,1950,Fox,
saddle justice,5,G,$18.00 ,,,,1949,E.C.,
saint,2,NM+,$25.00 ,,,,1947,Avon,
saint,3,NM,$20.00 ,,,,1948,Avon,
saint,4,NM+,$25.00 ,,,,1948,Avon,
saint,5,NM,$20.00 ,,,,1949,Avon,
saint,6,NM+,$40.00 ,,,,1949,Avon,
saint,7,NM,$16.00 ,,,,1950,Avon,
saint,9,NM,$16.00 ,9.4,OW-W , ,1950,Avon,
saint,10,NM+,$15.00 ,,,,1951,Avon,
saint,11,NM+,$15.00 ,,,,1951,Avon,
saint,12,NM+,$15.00 ,,,,1952,Avon,
sam hill,1,FN,$4.00 ,,,,1950,MLJ,
sam hill,2,NM,$4.00 ,,,,1950,MLJ,
sam hill,3,FN,$3.00 ,,,,1950,MLJ,
sam hill,4,FN,$3.00 ,,,,1950,MLJ,
sam hill,5,FN,$3.00 ,,,,1950,MLJ,
sam hill,7,FN,$3.00 ,,,,1950,MLJ,
samson,1,NM,$110.00 ,,,,1940,Fox,
samson,2,NM+,$70.00 ,,,,1940,Fox,
samson,3,NM,$35.00 ,8.5,OW , ,1941,Fox,
samson,6,FN,$25.00 ,,,,1941,Fox,
samson & delilah,11,NM,$10.00 ,,,,1950,Fox,
sands of the south pacific,NN,VG,$3.00 ,,,,1953,Toby,
santa claus funnies ,1,NL ,,6,OW , ,1952,Dell,
santiago (fc),723,NM+,$6.00 ,,,,1956,Dell,
savage raids of chief geronimo,4,NM,$5.00 ,,,,1952,Avon,
savage range (fc),807,NM,$4.00 ,,,,1957,Dell,
starlet o'hara,1,NM+,$11.00 ,,,,1948,Standard,
starlet o'hara,2,VG,$4.00 ,,,,1949,Standard,
starlet o'hara,3,NM+,$10.00 ,,,,1949,Standard,
starlet o'hara,4,FN,$5.00 ,,,,1949,Standard,
school-day romances,2,NM,$4.00 ,,,,1950,Star,
science comics (1946),5,NM+,$12.00 ,,,,1946,Ace Magazines,
science comics (fox),3,NM,$110.00 ,,,,1940,Fox,
