Title,Issue,Publisher,Year,Grader,Grade,Page Quality
4Most V2,2,Novelty Press,1943,CGC,9.2,OW/W
4Most V7,4,Novelty Press,1948,CGC,7.5,OW/W
Adventure Comics,102,DC,1946,CGC,9.4,W
Adventure Comics,54,DC,1940,CGC,9.6,OW
Adventure Comics,57,DC,1940,CGC,9.6,W
Adventure Comics,59,DC,1941,CGC,8.0,OW/W
Adventure Comics,60,DC,1941,CGC,9.6,W
Adventure Comics,62,DC,1941,CGC,9.6,W
Adventure Comics,67,DC,1941,CGC,9.8,W
Adventure Comics,81,DC,1942,CGC,9.6,W
Adventure Comics,86,DC,1943,CGC,9.6,W
Adventure Comics,88,DC,1943,CGC,9.6,W
Adventure Comics,94,DC,1944,CGC,9.8,W
All Sports Comics,2,Hillman Publications,1948,CGC,9.6,W
All-Flash,8,DC,1943,CGC,7.0,W
Bill Barnes Comics,2,Street & Smith,1941,CGC,9.0,OW/W
Blue Bolt V4,11,Novelty Press,1944,CGC,9.6,OW/W
Bobby Gets Hep,nn,Bell Telephone System,1946,CGC,9.0,OW
Captain Marvel Adventures,10,Fawcett,1942,CGC,9.6,W
Captain Marvel Adventures,21,Fawcett,1943,CGC,9.8,W
Captain Marvel Adventures,81,Fawcett,1948,CGC,9.4,OW/W
Captain Midnight,35,Fawcett,1945,CGC,9.4,W
Captain Midnight,42,Fawcett,1946,CGC,9.6,OW/W
Captain Midnight,57,Fawcett,1947,CGC,9.6,W
Captain Midnight,59,Fawcett,1948,CGC,9.4,OW
Captain Midnight,60,Fawcett,1948,CGC,9.2,OW
Catman Comics,18,Holyoke Publications,1944,CGC,9.2,OW/W
Charlie Chan,5,Crestwood/Headline,1949,CGC,9.4,OW
Claire Voyant,4,Pentagon,1947,CGC,9.2,W
Clue Comics,2,Hillman Publications,1943,CGC,9.8,OW
Clue Comics,7,Hillman Publications,1943,CGC,9.6,OW/W
Crack Comics,22,Quality,1942,CGC,9.4,W
Crack Comics,23,Quality,1942,CGC,9.6,W
Crack Comics,24,Quality,1942,CGC,9.4,W
Crimes by Women,2,Fox Features Syndicate,1948,CGC,8.0,W
Doll Man,38,Quality,1952,CGC,7.0,W
Eagle Comics,1,Rural Home,1945,CGC,9.0,W
Flash Comics,45,DC,1943,CGC,9.6,W
Great Comics,1,Novack,1945,CGC,8.0,W
Green Lantern,35,DC,1948,CGC,7.0,OW/W
Green Lantern,38,DC,1949,CGC,8.0,OW
Hi-Spot Comics,2,Hawley Publications,1940,,,"A Dave Innes of Pellucidar story written by Edgar Rice Bur..."
It Rhymes With Lust,nn,St. John,1950,CGC,5.0,OW/W
Kewpies,1,Will Eisner Publications,1949,CGC,5.5,W
Magic Comics,1,David McKay Publications,1939,CGC,7.0,OW/W
Negro Heroes,1,Parents' Magazine Institute,1947,CGC,4.5,W
New York World's Fair Comics 1939,DC,1939,CGC,5.5,W
Plastic Man,6,Quality,1946,CGC,5.0,OW/W
Punch Comics,15,Chesler,1945,CGC,5.0,W
Santa Claus Funnies,1,Dell,1952,CGC,6.0,OW
Schwinn Bike Thrills,nn,Schwinn,1959,CGC,7.0,OW/W
Shadow Comics V8,10,Street & Smith,1949,CGC,8.0,OW/W
Shock SuspenStories,9,EC,1953,CGC,9.8,W
Target Comics V3,6,Novelty Press,1942,CGC,8.0,W
The American Air Forces,7,Magazine Enterprises,1952,CGC,7.5,W
True Crime Comics,5,Magazine Village,1949,CGC,5.5,OW/W
War Comics,2,Dell,1941,CGC,7.5,OW/W
Whiz Comics,122,Fawcett,1950,CGC,6.5,W
Young King Cole V3,8,Novelty Press,1948,CGC,9.0,OW/W
